ID_provinsi;tahun;avg(i.nilai)
73;2020;62.58945685853654
81;2020;51.528767616861494
74;2020;57.01519507389929
94;2020;29.84310319550246
75;2020;64.12547620852361
76;2020;57.18565160869568
82;2020;52.52859606867358
91;2020;37.449570881102794
11;2020;57.36147552986468
14;2020;61.20110582086737
12;2020;52.20276155842712
15;2020;60.555541225160894
13;2020;66.11818786853455
16;2020;60.29113977111794
17;2020;56.72545360775535
32;2020;69.85609796630268
18;2020;62.33205702217648
19;2020;70.28916569579289
21;2020;61.256272829090925
33;2020;68.87309263196305
34;2020;76.73630577040817
35;2020;68.05229208405663
36;2020;63.34641800565419
51;2020;74.77523806446543
52;2020;69.06590493233833
53;2020;51.796204415399956
61;2020;53.62247508911861
62;2020;55.12153923114519
63;2020;61.360820371980566
64;2020;60.42543889536276
65;2020;49.669231120805335
71;2020;60.5403761614617
72;2020;59.65136309016826
